Primer	Reference	Start	End
DENV3_27_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	8373	8394
DENV3_27_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	8365	8386
DENV3_27_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	8364	8385
DENV3_27_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	1869	1890
DENV3_28_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	10603	10624
DENV3_28_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	10519	10540
DENV3_28_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8301	8322
DENV3_28_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	10592	10613
DENV3_28_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	8685	8706
DENV3_28_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	1754	1775
DENV3_28_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	8676	8697
DENV3_28_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	8684	8705
DENV3_29_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	8618	8642
DENV3_29_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	8610	8634
DENV3_29_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8609	8633
DENV3_29_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8617	8641
DENV3_30_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	8927	8949
DENV3_30_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	8919	8941
DENV3_30_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8918	8940
DENV3_30_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8926	8948
DENV3_30_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	3216	3237
DENV3_30_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	9289	9310
DENV3_30_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	9288	9309
DENV3_30_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	9296	9317
DENV3_31_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	396	417
DENV3_31_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	9145	9166
DENV3_31_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	9225	9246
DENV3_31_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	9233	9254
DENV3_31_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	9605	9626
DENV3_31_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	9600	9621
DENV3_31_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	9599	9620
DENV3_31_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	9604	9625
DENV3_32_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	9536	9556
DENV3_32_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	9531	9551
DENV3_32_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	9530	9550
DENV3_32_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	9535	9555
DENV3_32_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	9911	9932
DENV3_32_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	2091	2112
DENV3_32_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	9905	9926
DENV3_32_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	9910	9931
DENV3_33_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	9833	9854
DENV3_33_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	9828	9849
DENV3_33_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	9827	9848
DENV3_33_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	9832	9853
DENV3_33_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	10208	10229
DENV3_33_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	10203	10224
DENV3_33_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	10202	10223
DENV3_33_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	10207	10228
DENV3_34_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	10125	10146
DENV3_34_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	10120	10141
DENV3_34_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	10119	10140
DENV3_34_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	9800	9821
DENV3_34_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	10524	10543
DENV3_34_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	10433	10452
DENV3_34_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	10497	10516
DENV3_34_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	6561	6580
DENV3_35_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	10332	10353
DENV3_35_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	6968	6989
DENV3_35_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	10302	10323
DENV3_35_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	10311	10332
DENV3_35_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	10697	10718
DENV3_35_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	10611	10632
DENV3_35_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	10669	10690
DENV3_35_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	10685	10706
DENV4_1_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	18	37
DENV4_1_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	18	37
DENV4_1_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	18	37
DENV4_1_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	18	37
DENV4_1_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	2438	2459
DENV4_1_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	487	508
DENV4_1_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	6735	6756
DENV4_1_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	4431	4452
DENV4_2_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	425	446
DENV4_2_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	429	450
DENV4_2_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	2594	2615
DENV4_2_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	427	448
DENV4_2_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	803	827
DENV4_2_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	807	831
DENV4_2_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	803	827
DENV4_2_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	2434	2458
DENV4_3_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	6593	6616
DENV4_3_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	732	755
DENV4_3_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	728	751
DENV4_3_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	730	753
DENV4_3_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	1117	1143
DENV4_3_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	1121	1147
DENV4_3_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	1117	1143
DENV4_4_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	8083	8102
DENV4_4_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	1038	1057
DENV4_4_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	1950	1969
DENV4_4_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	1731	1750
DENV4_4_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	1950	1971
DENV4_4_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	1428	1449
DENV4_4_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	10289	10310
DENV4_4_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	5825	5846
DENV4_5_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	6962	6982
DENV4_5_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	1366	1386
DENV4_5_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	2594	2614
DENV4_5_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	6958	6978
DENV4_5_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	8331	8352
DENV4_5_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	1741	1762
DENV4_5_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	8322	8343
DENV4_5_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	6062	6083
DENV4_6_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	1723	1747
DENV4_6_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	1623	1647
DENV4_6_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	9917	9941
DENV4_6_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	942	966
DENV4_6_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	2045	2066
DENV4_6_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	2001	2022
DENV4_6_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	7208	7229
DENV4_6_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	5686	5707
DENV4_7_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	5650	5670
DENV4_7_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	1883	1903
DENV4_7_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	1873	1893
DENV4_7_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	1881	1901
DENV4_7_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	10516	10538
DENV4_7_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	2278	2300
DENV4_7_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	2268	2290
DENV4_7_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	8168	8190
DENV4_8_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	2199	2218
DENV4_8_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	2203	2222
DENV4_8_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	2193	2212
DENV4_8_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	2201	2220
DENV4_8_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	2853	2874
DENV4_8_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	2597	2618
DENV4_8_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	2587	2608
DENV4_8_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	2595	2616
DENV4_9_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	4284	4305
DENV4_9_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	2522	2543
DENV4_9_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	9298	9319
DENV4_9_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	6527	6548
DENV4_9_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	2901	2923
DENV4_9_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	2905	2927
DENV4_9_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	2895	2917
DENV4_9_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	2903	2925
DENV4_10_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	2843	2864
DENV4_10_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	2847	2868
DENV4_10_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	6831	6852
DENV4_10_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	2845	2866
DENV4_10_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	3218	3237
DENV4_10_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	3222	3241
DENV4_10_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	3212	3231
DENV4_10_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	551	570
DENV4_11_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	3156	3177
DENV4_11_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	3160	3181
DENV4_11_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	6303	6324
DENV4_11_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	732	753
DENV4_11_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	10006	10029
DENV4_11_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	3534	3557
DENV4_11_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	7685	7708
DENV4_11_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	3806	3829
DENV4_12_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	3444	3467
DENV4_12_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	3448	3471
DENV4_12_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	3438	3461
DENV4_12_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	3446	3469
DENV4_12_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	8434	8458
DENV4_12_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	3820	3844
DENV4_12_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	720	744
DENV4_12_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	1741	1765
DENV4_13_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	6974	6996
DENV4_13_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	3761	3783
DENV4_13_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	7132	7154
DENV4_13_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	4892	4914
DENV4_13_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	4139	4160
DENV4_13_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	4143	4164
DENV4_13_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	4133	4154
DENV4_13_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	4141	4162
DENV4_14_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	4719	4740
DENV4_14_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	4083	4104
DENV4_14_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8738	8759
DENV4_14_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	6373	6394
DENV4_14_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	7058	7079
DENV4_14_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	4456	4477
DENV4_14_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	3501	3522
DENV4_14_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	98	119
DENV4_15_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	6898	6919
DENV4_15_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	4395	4416
DENV4_15_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	1334	1355
DENV4_15_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	9922	9943
DENV4_15_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	4370	4391
DENV4_15_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	4768	4789
DENV4_15_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	6625	6646
DENV4_15_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	7586	7607
DENV4_16_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	1596	1617
DENV4_16_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	4709	4730
DENV4_16_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	7951	7972
DENV4_16_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	1701	1722
DENV4_16_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	5087	5111
DENV4_16_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	5088	5112
DENV4_16_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	5081	5105
DENV4_16_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	5086	5110
DENV4_17_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	9461	9482
DENV4_17_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	5026	5047
DENV4_17_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	5010	5031
DENV4_17_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8225	8246
DENV4_17_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	10507	10526
DENV4_17_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	5400	5419
DENV4_17_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	5393	5412
DENV4_17_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	5398	5417
DENV4_18_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	9326	9347
DENV4_18_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	5332	5353
DENV4_18_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	5325	5346
DENV4_18_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	9917	9938
DENV4_18_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	5131	5152
DENV4_18_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	5718	5739
DENV4_18_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	5711	5732
DENV4_18_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	5716	5737
DENV4_19_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	5639	5663
DENV4_19_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	5640	5664
DENV4_19_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	2750	2774
DENV4_19_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	9704	9728
DENV4_19_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	6026	6050
DENV4_19_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	6027	6051
DENV4_19_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	6020	6044
DENV4_19_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	6025	6049
DENV4_20_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	10	31
DENV4_20_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	5944	5965
DENV4_20_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8299	8320
DENV4_20_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	7044	7065
DENV4_20_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	6329	6350
DENV4_20_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	6330	6351
DENV4_20_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	6323	6344
DENV4_20_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	2888	2909
DENV4_21_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	6255	6279
DENV4_21_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	6256	6280
DENV4_21_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	6249	6273
DENV4_21_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	6254	6278
DENV4_21_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	10339	10358
DENV4_21_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	6648	6667
DENV4_21_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	6755	6774
DENV4_21_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	243	262
DENV4_22_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	6711	6730
DENV4_22_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	6501	6520
DENV4_22_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	5463	5482
DENV4_22_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	4405	4424
DENV4_22_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	3261	3282
DENV4_22_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	6889	6910
DENV4_22_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	6891	6912
DENV4_22_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	6896	6917
DENV4_23_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	6773	6800
DENV4_23_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	7176	7200
DENV4_23_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	7165	7189
DENV4_23_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	7167	7191
DENV4_23_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	7172	7196
DENV4_24_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	7116	7139
DENV4_24_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	7105	7128
DENV4_24_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	7107	7130
DENV4_24_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	7112	7135
DENV4_24_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	7493	7514
DENV4_24_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	7482	7503
DENV4_24_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	7484	7505
DENV4_24_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	7489	7510
DENV4_25_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	6345	6366
DENV4_25_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	7387	7408
DENV4_25_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	7389	7410
DENV4_25_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	7394	7415
DENV4_25_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	3129	3151
DENV4_25_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	7759	7781
DENV4_25_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	3507	3529
DENV4_25_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	3131	3153
DENV4_26_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	1301	1322
DENV4_26_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	7684	7705
DENV4_26_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	6057	6078
DENV4_26_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	4562	4583
DENV4_26_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	2040	2064
DENV4_26_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	8073	8097
DENV4_26_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	891	915
DENV4_26_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	7663	7687
DENV4_27_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	8014	8037
DENV4_27_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	8003	8026
DENV4_27_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	5426	5449
DENV4_27_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8010	8033
DENV4_27_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	961	982
DENV4_27_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	8383	8404
DENV4_27_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	4686	4707
DENV4_27_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	4747	4768
DENV4_28_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	8317	8340
DENV4_28_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	8309	8332
DENV4_28_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8308	8331
DENV4_28_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8316	8339
DENV4_28_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	8697	8716
DENV4_28_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	8689	8708
DENV4_28_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	6892	6911
DENV4_28_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	619	638
DENV4_29_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	8612	8633
DENV4_29_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	8604	8625
DENV4_29_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8603	8624
DENV4_29_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8611	8632
DENV4_29_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	9009	9029
DENV4_29_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	9001	9021
DENV4_29_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	2566	2586
DENV4_29_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	9008	9028
DENV4_30_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	8934	8958
DENV4_30_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	8926	8950
DENV4_30_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	8925	8949
DENV4_30_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	8933	8957
DENV4_30_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	3104	3125
DENV4_30_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	9311	9332
DENV4_30_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	4129	4150
DENV4_30_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	5020	5041
DENV4_31_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	4115	4136
DENV4_31_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	9214	9235
DENV4_31_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	9213	9234
DENV4_31_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	230	251
DENV4_31_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	9612	9633
DENV4_31_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	9607	9628
DENV4_31_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	9606	9627
DENV4_31_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	9611	9632
DENV4_32_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	9422	9443
DENV4_32_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	9414	9435
DENV4_32_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	9413	9434
DENV4_32_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	9421	9442
DENV4_32_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	9798	9819
DENV4_32_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	9793	9814
DENV4_32_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	9792	9813
DENV4_32_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	783	804
DENV4_33_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	6223	6242
DENV4_33_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	9728	9747
DENV4_33_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	5207	5226
DENV4_33_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	9732	9751
DENV4_33_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	10107	10128
DENV4_33_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	10102	10123
DENV4_33_RIGHT_R	GCF_000866625.1_ViralProj15598_genomic	10101	10122
DENV4_33_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	10106	10127
DENV4_34_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	4620	4642
DENV4_34_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	10043	10065
DENV4_34_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	10042	10064
DENV4_34_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	10047	10069
DENV4_34_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	10589	10610
DENV4_34_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	10414	10435
