Amplicon_Length	Combination_Name	Forward_Primer	Genotype	Reference	Region	Reverse_Primer
516	DENV4_F_DENV4_20_RIGHT_R	DENV4_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_20_RIGHT_R
366	DEN2_CC_1_F_DEN2-2420_R	DEN2_CC_1_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN2-2420_R
307	DEN2_CC_1_F_D2_R	DEN2_CC_1_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	D2_R
307	DEN2_CC_1_F_FAACOUFISPPAPR_4_R	DEN2_CC_1_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	FAACOUFISPPAPR_4_R
307	DEN2_CC_1_F_DEN-2_C_R	DEN2_CC_1_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DEN-2_C_R
385	DEN3_CC_1_F_D2_R	DEN3_CC_1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	D2_R
493	DEN3_CC_1_F_DENV3_5_RIGHT_R	DEN3_CC_1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV3_5_RIGHT_R
396	DEN3_CC_1_F_DEN3_CC_1_R	DEN3_CC_1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN3_CC_1_R
638	DEN3_CC_1_F_DEN3_CC_2_R	DEN3_CC_1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN3_CC_2_R
613	DEN3_CC_1_F_D3R1758_R	DEN3_CC_1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	D3R1758_R
685	DEN3_CC_1_F_PRIMER_4_R	DEN3_CC_1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	PRIMER_4_R
385	DEN3_CC_1_F_D2_R	DEN3_CC_1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	D2_R
618	DEN3_CC_1_F_DENV3_28_RIGHT_R	DEN3_CC_1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	DENV3_28_RIGHT_R
693	DEN3_CC_1_F_D1_R	DEN3_CC_1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	D1_R
721	DEN3_CC_1_F_D3_R	DEN3_CC_1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	D3_R
462	DEN3_CC_1_F_GRP78_R	DEN3_CC_1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	GRP78_R
768	DEN3_CC_1_F_P4_R	DEN3_CC_1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	P4_R
396	DEN3_CC_1_F_DEN3_CC_1_R	DEN3_CC_1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	DEN3_CC_1_R
487	DEN3_CC_1_F_DENV3_5_RIGHT_R	DEN3_CC_1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_5_RIGHT_R
810	DEN3_CC_1_F_DENV3_6_RIGHT_R	DEN3_CC_1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_6_RIGHT_R
494	DEN3_CC_1_F_DNM2_R	DEN3_CC_1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DNM2_R
390	DEN3_CC_1_F_DEN3_CC_1_R	DEN3_CC_1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DEN3_CC_1_R
607	DEN3_CC_1_F_D3R1758_R	DEN3_CC_1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	D3R1758_R
385	DEN3_CC_1_F_D2_R	DEN3_CC_1_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS1	D2_R
735	DEN3_CC_1_F_DENV3_27_RIGHT_R	DEN3_CC_1_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV3_27_RIGHT_R
382	DEN3_CC_1_F_P1_R	DEN3_CC_1_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS1	P1_R
396	DEN3_CC_1_F_DEN3_CC_1_R	DEN3_CC_1_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS1	DEN3_CC_1_R
