Amplicon_Length	Combination_Name	First_Round_End	First_Round_Start	Forward_Primer	Genotype	Reference	Region	Reverse_Primer	Round_Type
923	NS3-1-SEQ_F_DOASSMFPSAGODV_6_R	6775	5834	NS3-1-SEQ_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DOASSMFPSAGODV_6_R	first
1372	NS3-2-O_F_DOASSMFPSAGODV_6_R	6775	5385	NS3-2-O_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DOASSMFPSAGODV_6_R	first
1467	NS3-2-I_F_RPL27_R	6968	5482	NS3-2-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	RPL27_R	first
788	NS3-2-I_F_RPS29_R	6289	5482	NS3-2-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	RPS29_R	first
1006	NS3-2-I_F_NS3-2-O_R	6507	5482	NS3-2-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	NS3-2-O_R	first
1005	NS3-2-SEQ-I_F_DOASSMFPSAGODV_6_R	6775	5752	NS3-2-SEQ-I_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DOASSMFPSAGODV_6_R	first
345	NS3-2-SEQ-I_F_RPS29_R	6110	5746	NS3-2-SEQ-I_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	RPS29_R	first
737	NS3-2-SEQ-I_F_NS3-2-O_R	6502	5746	NS3-2-SEQ-I_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	NS3-2-O_R	first
1198	NS3-2-SEQ-I_F_RPL27_R	6968	5751	NS3-2-SEQ-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	RPL27_R	first
519	NS3-2-SEQ-I_F_RPS29_R	6289	5751	NS3-2-SEQ-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	RPS29_R	first
737	NS3-2-SEQ-I_F_NS3-2-O_R	6507	5751	NS3-2-SEQ-I_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	NS3-2-O_R	first
409	DV2.U_F_D2_R	1538	1108	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	D2_R	first
458	DV2.U_F_DENV2_5_RIGHT_R	1587	1108	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV2_5_RIGHT_R	first
456	DV2.U_F_DENV2_16_RIGHT_R	1585	1108	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV2_16_RIGHT_R	first
409	DV2.U_F_DENV-2_R	1538	1108	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV-2_R	first
409	DV2.U_F_FAACOUFISPPAPR_4_R	1538	1108	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	FAACOUFISPPAPR_4_R	first
409	DV2.U_F_DEN-2_C_R	1538	1108	DV2.U_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN-2_C_R	first
1018	DV2.U_F_D2_R	6470	5431	DV2.U_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
1018	DV2.U_F_FAACOUFISPPAPR_4_R	6470	5431	DV2.U_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	FAACOUFISPPAPR_4_R	first
1913	P3_F_RPL27_R	6968	5036	P3_F	ALL	GCF_000871845.1_ViralProj20183_genomic	NS5	RPL27_R	first
1234	P3_F_RPS29_R	6289	5036	P3_F	ALL	GCF_000871845.1_ViralProj20183_genomic	NS5	RPS29_R	first
307	DEN2_CC_1_F_D2_R	1540	1212	DEN2_CC_1_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	D2_R	first
307	DEN2_CC_1_F_FAACOUFISPPAPR_4_R	1540	1212	DEN2_CC_1_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	FAACOUFISPPAPR_4_R	first
307	DEN2_CC_1_F_DEN-2_C_R	1540	1212	DEN2_CC_1_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS1	DEN-2_C_R	first
493	DEN3_CC_1_F_DENV3_5_RIGHT_R	1647	1132	DEN3_CC_1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV3_5_RIGHT_R	first
396	DEN3_CC_1_F_DEN3_CC_1_R	1551	1132	DEN3_CC_1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN3_CC_1_R	first
638	DEN3_CC_1_F_DEN3_CC_2_R	1791	1132	DEN3_CC_1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN3_CC_2_R	first
685	DEN3_CC_1_F_PRIMER_4_R	1839	1132	DEN3_CC_1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	PRIMER_4_R	first
693	DEN3_CC_1_F_D1_R	1850	1136	DEN3_CC_1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	D1_R	first
768	DEN3_CC_1_F_P4_R	1925	1136	DEN3_CC_1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	P4_R	first
396	DEN3_CC_1_F_DEN3_CC_1_R	1555	1136	DEN3_CC_1_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	DEN3_CC_1_R	first
487	DEN3_CC_1_F_DENV3_5_RIGHT_R	1641	1132	DEN3_CC_1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_5_RIGHT_R	first
494	DEN3_CC_1_F_DNM2_R	1647	1132	DEN3_CC_1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DNM2_R	first
390	DEN3_CC_1_F_DEN3_CC_1_R	1545	1132	DEN3_CC_1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DEN3_CC_1_R	first
735	DEN3_CC_1_F_DENV3_27_RIGHT_R	1890	1134	DEN3_CC_1_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV3_27_RIGHT_R	first
396	DEN3_CC_1_F_DEN3_CC_1_R	1553	1134	DEN3_CC_1_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS1	DEN3_CC_1_R	first
452	DEN4_CC_1_F_D1_R	1850	1377	DEN4_CC_1_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS1	D1_R	first
366	DEN4_CC_3_F_DEN4_CC_3_R	6199	5808	DEN4_CC_3_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DEN4_CC_3_R	first
455	D4S_F_DENV-4_R	3965	3492	D4S_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS3	DENV-4_R	first
502	D4S_F_1545-1563_R	1561	1041	D4S_F	DENV4	GCF_000871845.1_ViralProj20183_genomic	NS1	1545-1563_R	first
1618	RSS9_F_8_R	6886	5251	RSS9_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	8_R	first
306	RSS22_F_GRP78_R	1617	1292	RSS22_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS1	GRP78_R	first
468	D1F1035_F_D2_R	1538	1049	D1F1035_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS1	D2_R	first
468	D1F1035_F_D2_R	1542	1053	D1F1035_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS1	D2_R	first
