accession_id	sequence_length
MW945477.1	10164
MW945476.1	10164
MW945475.1	10164
MW945474.1	10164
MW945473.1	10164
MW945472.1	10164
MW945471.1	10164
MW945470.1	10164
MW945469.1	10164
MW945468.1	10164
MW945467.1	10164
MW945466.1	10164
MW945465.1	10164
MW945464.1	10164
MW945463.1	10164
MW945462.1	10164
MW945461.1	10164
MW945460.1	10164
MW945459.1	10164
MW945458.1	10164
MW945457.1	10164
MW945456.1	10164
MW945455.1	10164
MW945454.1	10164
MW945437.1	10167
MW945436.1	10167
MW945435.1	10176
MW945434.1	10176
MW945433.1	10175
MW945430.1	10173
MW945429.1	10173
MW945428.1	10173
MW945427.1	10173
MW945426.1	10179
MW945425.1	10179
MT835386.1	482
MT835385.1	482
MT835384.1	482
MW320655.1	1485
MW320654.1	1485
MW320653.1	1485
MW320652.1	1485
MW320651.1	1485
MW320650.1	1485
MW320649.1	1485
MW320648.1	1485
MW320647.1	1485
MW320646.1	1485
MW320645.1	1485
MW320644.1	1485
MW320643.1	1485
MW320642.1	1485
MW320641.1	1485
MW320640.1	1485
MW320639.1	1485
MW320638.1	1485
MW320637.1	1485
MW320636.1	1485
MW320635.1	1485
MW320634.1	1485
MW320633.1	1485
MW320632.1	1485
MW320631.1	1485
MW320630.1	1485
MW320629.1	1485
MW320628.1	1485
MW320627.1	1485
MW320626.1	1485
MW320625.1	1485
MW320624.1	1485
MW320623.1	1485
MW320622.1	1485
MW320621.1	1485
MW881533.1	10602
MW881530.1	10319
MW881266.1	10164
MW858233.1	315
MW332618.1	1485
MW332617.1	1485
MW362806.1	1485
MW362805.1	1485
MW362804.1	1479
MW362803.1	1479
MW362802.1	1479
MW362801.1	1479
MW362800.1	1479
MW362799.1	1479
MW362798.1	1479
MW362797.1	1479
MW362796.1	1479
MW362795.1	1479
MW362794.1	1479
MW362793.1	1485
MW362792.1	1485
MW362791.1	1485
MW844009.1	416
MW830396.1	410
MW830395.1	418
MW828678.1	10735
MW795722.1	401
MW795721.1	401
MW793711.1	376
MW793554.1	377
MW793460.1	10648
MW793459.1	10648
MW775326.1	433
MW186240.1	10723
MW186239.1	10723
MN589884.1	10651
MN589883.1	10651
MN589882.1	10651
MN589881.1	10651
MN589880.1	10651
MN589879.1	10651
MN589878.1	10651
MN589877.1	10651
MN589876.1	10651
MN589875.1	10651
MN589874.1	10651
MN589873.1	10651
MN589872.1	10651
MN589871.1	10651
MN589870.1	10651
MN589869.1	10651
MN589868.1	10651
MN589867.1	10651
MN589866.1	10651
MN589865.1	10651
MN589864.1	10651
MN589863.1	10651
MN589862.1	10651
MN589861.1	10651
MN589860.1	10651
MN589859.1	10651
MN589858.1	10651
MP720287.1	309
MP720286.1	312
MP720285.1	312
MP720284.1	312
MP879436.1	1707
MP879435.1	1710
MP879434.1	1710
MP879433.1	1710
MT122205.1	1479
MT122204.1	1479
MT122203.1	1479
MT122202.1	1479
MT122201.1	1479
MT122200.1	1479
MT122199.1	1479
MT122198.1	1479
MT122197.1	1479
MT122196.1	1485
MT122195.1	1485
MT122194.1	1485
MT122193.1	1485
MT122192.1	1485
MT122191.1	1485
MT122190.1	1485
MK473386.1	10173
MK473385.1	10173
MK473384.1	10173
MK473383.1	1646
MW261848.1	10680
MW261847.1	10701
MW261846.1	10712
MW261845.1	10692
MW261844.1	10695
MW261843.1	10682
MW261842.1	10690
MW261841.1	10712
MW261840.1	10690
MW261839.1	10687
MW261838.1	10678
MW261837.1	10680
MW261836.1	10679
MW261835.1	10684
MW261834.1	10679
MW261833.1	10682
MW261832.1	10669
MW261831.1	10691
MW261830.1	10690
MW261829.1	10691
MW261828.1	10704
MW261827.1	10690
MW261826.1	10700
MW261825.1	10693
MW261824.1	10701
MT122206.1	1485
OG158724.1	10574
OG158723.1	10680
OG158722.1	1485
OG158721.1	1485
OG158713.1	6804
OG158712.1	1140
MW626105.1	419
MW362477.1	10716
MW362476.1	10708
MW362475.1	10708
MW362474.1	10735
MW362473.1	10725
MW362472.1	10727
MW362471.1	10735
MW600550.1	471
MW600549.1	471
MW600548.1	471
MW600547.1	471
MW600546.1	471
MW600545.1	471
MW600544.1	471
MW600543.1	471
MW600542.1	471
MW600541.1	471
MW599419.1	453
MW599418.1	447
MW599417.1	444
MW599416.1	446
MW599415.1	446
MW599414.1	448
MW599413.1	446
MW599412.1	446
MW599411.1	446
MW599410.1	446
MW599409.1	446
MW599408.1	446
MW599407.1	446
MW599406.1	432
MW599405.1	446
MW599404.1	446
MW585365.1	1485
MW559478.1	1450
MW582816.1	10735
MW582815.1	10735
MW582814.1	10735
MW582813.1	10735
MW582717.1	1056
MW582716.1	1056
MW582715.1	1056
MW582714.1	1056
MW582713.1	1056
MW582712.1	1056
MW582711.1	1056
MW582710.1	1056
MW582709.1	1056
MW582708.1	1485
MW582707.1	1485
MW582706.1	1485
MW582705.1	1485
MW582704.1	1485
MW582703.1	1485
MW582702.1	1485
MW582701.1	1485
MW582700.1	1485
MW581893.1	1485
MW581892.1	1485
MW581891.1	1485
MW581890.1	1485
MW581889.1	1485
MW581888.1	1485
MW564906.1	483
MW564905.1	483
MW564904.1	483
MW564903.1	483
MW564902.1	483
MW564901.1	483
MW560506.1	483
MW560505.1	483
MW560504.1	483
MW560503.1	483
MW560502.1	483
MW560501.1	483
MW560500.1	483
MW555988.1	483
MW555987.1	483
MW555986.1	483
MW555985.1	483
MW555984.1	483
MW555983.1	483
MW555982.1	483
MW555981.1	483
MW553080.1	10682
MW553079.1	10682
MW553078.1	1566
MW553038.1	1566
MW550297.1	1566
MW549208.1	1566
MW549871.1	1566
MW549872.1	1566
MW549783.1	1566
MW549782.1	1566
MW549640.1	479
MW549639.1	479
MW549638.1	479
MW549637.1	479
MW549636.1	479
MW549635.1	479
MW549634.1	479
MW549633.1	479
MW549632.1	479
MW549631.1	479
MW549630.1	479
MW549629.1	479
MW549628.1	479
MW549627.1	479
MW549626.1	479
MW549625.1	479
MW549624.1	479
MW549623.1	479
MW549622.1	1787
MW549621.1	483
MW549620.1	483
MW549619.1	483
MW549323.1	1566
MW549202.1	1566
MW549200.1	1566
MW549052.1	1566
MW549042.1	1566
MW548653.1	1566
MW548652.1	1566
MW548641.1	1566
MW548640.1	1566
MW548591.1	1566
MW548590.1	1566
MW548588.1	1566
MW548583.1	1566
MW548420.1	10679
MW547783.1	10691
MW547780.1	10684
MW547779.1	10695
MW547778.1	1577
MW547777.1	1587
MW547776.1	1590
MW547774.1	1597
MW547771.1	1581
MW547770.1	1645
MW547769.1	1644
MW547565.1	1589
MW547535.1	1788
MW547534.1	1769
MW547533.1	1779
MW547532.1	1775
MW547531.1	1557
MW547530.1	1565
MW547528.1	1544
MW547524.1	1569
MW547523.1	1552
MW547521.1	1609
MW547520.1	1575
MW547518.1	1536
MW547517.1	1581
MW547516.1	1565
MW547515.1	1602
MW547513.1	1583
MW547512.1	1571
MW547511.1	1570
MW547510.1	1557
MW547485.1	1544
MW547484.1	1562
MW547483.1	1554
MW547482.1	1520
MW547475.1	1543
MW547474.1	1572
MW547473.1	1570
MW547472.1	1572
MW547471.1	1583
MW547470.1	1561
MW547468.1	1589
MW547467.1	1565
MW547466.1	1597
MW547465.1	1590
MW547464.1	1560
MW547463.1	1567
MW547462.1	1577
MW547461.1	1565
MW547457.1	1551
MW547456.1	1563
MW547455.1	1571
MW547454.1	1570
MW547453.1	1566
MW547452.1	1571
MW547451.1	1558
MW547450.1	1553
MW547449.1	1551
MW547448.1	1572
MW547447.1	1499
MW547446.1	1527
MW547445.1	1530
MW547444.1	1556
MW547425.1	1501
MW547424.1	1540
MW547423.1	1549
MW547422.1	1544
MW547421.1	1567
MW547410.1	1580
MW547408.1	1565
MW547407.1	1551
MW541836.1	1566
MW541835.1	1566
MW302896.1	1485
MW302895.1	1485
MW302894.1	1485
MW302893.1	1485
MW302892.1	1485
MW302891.1	1485
MW302890.1	1485
MW302889.1	1485
MW302888.1	1485
MW302887.1	1485
MW302886.1	1485
MW302885.1	1485
MW302884.1	1485
MW302883.1	1485
MW302882.1	1485
MW302881.1	1485
MW302880.1	1485
MW302879.1	1485
MW302878.1	1485
MW302877.1	1485
MW302876.1	1485
MW302875.1	1485
MW302874.1	1485
MW302873.1	1485
MW302872.1	1485
MW302871.1	1485
MW302870.1	1485
MW302869.1	1485
MW302868.1	1485
MW302867.1	1485
MW302866.1	1485
MW302865.1	1485
MW302864.1	1485
MW302863.1	1485
MW302862.1	1485
MW302861.1	1485
MW302860.1	1485
MW302859.1	1485
MW302858.1	1485
MW302857.1	1485
MW302856.1	1485
MW302855.1	1485
MW302854.1	1485
MW302853.1	1485
MW302852.1	1485
MW302851.1	1485
MW302850.1	1485
MW302849.1	1485
MW302848.1	1485
MW302847.1	1485
MW302846.1	1485
MW302845.1	1485
MW302844.1	1485
MW302843.1	1485
MW302842.1	1485
MW302841.1	1485
MW302840.1	1485
MW302839.1	1485
MW302838.1	1485
MW302837.1	1485
MW302836.1	1485
MW302835.1	1485
MW302834.1	1485
MW302833.1	1485
MW302832.1	1485
MW302831.1	1485
MW302830.1	1485
MW302829.1	1485
MW302828.1	1485
MW302827.1	1485
MW302826.1	1485
MW302825.1	1485
MW302824.1	1485
MW302823.1	1485
MW302822.1	1485
MW302821.1	1485
MW302820.1	1485
MW302819.1	1485
MW302818.1	1485
MW302817.1	1485
MW302816.1	1485
MW302815.1	1485
MW302814.1	1485
MW302813.1	1485
MW302812.1	1485
MW302811.1	1485
MW302810.1	1485
MW302809.1	1485
MW302808.1	1485
MW302807.1	1485
MW302806.1	1485
MW302805.1	1485
MW302804.1	1485
MW302803.1	1485
MW302802.1	1485
MW302801.1	1485
MW302800.1	1485
MW302799.1	1485
MW302798.1	1485
MW302797.1	1485
MW302796.1	1485
MW302795.1	1485
MW302794.1	1485
MW302793.1	1485
MW302792.1	1485
MW302791.1	1485
MW302790.1	1485
MW302789.1	1485
MW302788.1	1485
MW302787.1	1485
MW302786.1	1485
MW302785.1	1485
MW302784.1	1485
MW302783.1	1485
MW302782.1	1485
MW302781.1	1485
MW302780.1	1485
MW302779.1	1485
MW302778.1	1485
MW302777.1	1485
MW302776.1	1485
MW302775.1	1485
MW302774.1	1485
MW302773.1	1485
MW302772.1	1485
MW302771.1	1485
MW302770.1	1485
MW302769.1	1485
MW302768.1	1485
MW302767.1	1485
MW302766.1	1485
MW302765.1	1485
MW302764.1	1485
MW302763.1	1485
MN990205.1	1485
MN990204.1	1485
MN990203.1	1485
MN990202.1	1485
MN990201.1	1485
MN990200.1	1485
MN990199.1	1485
MN990198.1	1485
MN990197.1	1485
MN990196.1	1485
MN990195.1	1485
MN990194.1	1485
MN990193.1	1485
MW487378.1	469
MW487379.1	347
MW487357.1	395
MW487332.1	395
MW485254.1	395
MW481694.1	9980
MW481693.1	9980
MW481692.1	9980
MW481691.1	9980
MW481690.1	9980
MW481689.1	9980
MW481688.1	9980
MW481687.1	9980
MW481686.1	9980
MW481685.1	9980
MW481684.1	9980
MW481683.1	9980
MW481682.1	9980
MW481681.1	9980
MW481680.1	9980
MW481679.1	9980
MW481678.1	9980
MW481677.1	9980
MW481676.1	9980
MW481675.1	9980
MW481674.1	9980
MW481673.1	9980
MW481672.1	9980
MW481671.1	9980
MW481670.1	9980
MN175285.1	1485
MN175284.1	1485
MN175283.1	1485
MN175282.1	1485
MN175281.1	1485
MN175280.1	1485
MN175279.1	1485
MN175278.1	1485
MN175277.1	1485
MN175276.1	1485
MN175275.1	1485
MN175274.1	1485
MN175273.1	1485
MN175272.1	1485
MN175271.1	1485
MN175270.1	1485
MN175269.1	1485
MN175268.1	1485
MN175267.1	1485
MN175266.1	1485
MN175265.1	1485
MN175264.1	1485
MN175263.1	1485
MN175262.1	1485
MW463888.1	1510
MK783210.1	10686
MK783209.1	10658
MK783208.1	10726
MK783207.1	10680
MK783206.1	10694
MK783205.1	10683
MK783204.1	10678
MK783203.1	10683
MK783202.1	10637
MK783201.1	10683
MK783200.1	10683
MK783199.1	10678
MK783198.1	10638
MK783197.1	10683
MK783196.1	10679
MK783195.1	10678
MK783194.1	10679
MK783193.1	10678
MK783192.1	10683
MK783191.1	10678
MK783190.1	10674
MK783189.1	10677
MW332471.1	1485
MW332470.1	1485
MW332469.1	1485
MW332468.1	1485
MW332467.1	1485
MW332465.1	1485
MW332464.1	1485
MW332463.1	1485
MW332462.1	1485
MW332461.1	1485
MT832080.1	10176
MT832079.1	10176
MT832078.1	10176
MT832077.1	10176
MT832076.1	10176
MT832075.1	10176
MT832074.1	10176
MT832073.1	10176
MT832072.1	10176
MT832071.1	10176
MT832070.1	10072
MT832069.1	10176
MT832068.1	10072
MT832067.1	10176
MT832066.1	10081
MT832065.1	10176
MT832064.1	10072
MT832063.1	10176
MT832062.1	10072
MT832061.1	10176
MT832060.1	10176
MT832059.1	10176
MT832058.1	10176
MT832057.1	10176
MT832056.1	10176
MT832055.1	10176
MT832054.1	10176
MT832053.1	10176
MT832052.1	10179
MT832051.1	10179
MT832050.1	10179
MT832049.1	10179
MT832048.1	10179
MT832047.1	10179
MT832046.1	10179
MT832045.1	10179
MT832044.1	10179
MT832043.1	10179
MT832042.1	10179
MT832041.1	10179
MT832040.1	10179
MT832039.1	10179
MT832038.1	10179
MT832037.1	10179
MT832036.1	10179
MT832035.1	10179
MT832034.1	10141
MT832033.1	10179
MT832032.1	10179
MW426463.1	10702
MW426195.1	1302
MW426194.1	1461
MW426193.1	1485
MW426192.1	1302
MW426191.1	1470
MW426190.1	1299
MW426189.1	1290
MW426188.1	1464
MW426187.1	1461
MW426186.1	1302
MW426185.1	1485
MW426184.1	1302
MW426183.1	1308
MW426182.1	1461
MW426181.1	1302
MW426180.1	1302
MW426179.1	1485
MW426178.1	1461
MW426177.1	1302
MW426176.1	1485
MW426175.1	1485
MW426174.1	1302
MW426173.1	1485
MW426172.1	1485
MW426171.1	1302
MW426170.1	1485
MW426169.1	1485
MW426168.1	1302
MW426167.1	1095
MW426166.1	1302
MW426165.1	1095
MW426164.1	1484
MW426163.1	1302
MW426162.1	1485
MW426161.1	1302
MW426160.1	1095
MW426159.1	1296
MW426158.1	1407
MW426157.1	1485
MW426156.1	1485
MW426155.1	1302
MW426154.1	1485
MW426153.1	1302
MW426152.1	1485
MW426151.1	1302
MW426150.1	1485
MW426149.1	1095
MW426148.1	1485
MW426143.1	765
MW426142.1	678
MW426141.1	792
MW426140.1	759
MW426139.1	780
MW426138.1	726
MW426137.1	771
MW426136.1	708
MW426135.1	789
MW426134.1	756
MW426133.1	780
MW426132.1	780
MW426131.1	759
MW426130.1	792
MW426129.1	768
MW426128.1	726
MW426127.1	768
MW426126.1	762
MW426125.1	522
MW426124.1	741
MW426123.1	783
MW426122.1	759
MW426121.1	774
MW426120.1	729
MW426119.1	756
MW426118.1	786
MW426117.1	792
MW426116.1	780
MW426115.1	792
MW426114.1	708
MW426113.1	792
MW426112.1	756
MW426111.1	780
MW426110.1	750
MW426109.1	759
MW426108.1	741
MW426107.1	768
MW426106.1	726
MW426105.1	768
MW426104.1	762
MW426103.1	741
MW426102.1	741
MW426101.1	780
MW426100.1	759
MW426099.1	780
MW426098.1	756
MW426097.1	792
MW426096.1	741
MW426095.1	726
MW426094.1	813
MW426093.1	756
MW426092.1	816
MW426091.1	756
MW426090.1	789
MW426089.1	750
MW426088.1	759
MW426087.1	742
MW426086.1	768
MW426085.1	726
MW426084.1	780
MW426083.1	741
MW426082.1	750
MW426081.1	759
MW426080.1	783
MW426079.1	750
MW426078.1	792
MW426077.1	780
MW426076.1	786
MN711810.1	384
MN711809.1	567
MN711808.1	567
MN711807.1	386
MN711806.1	386
MN711805.1	386
MN711804.1	386
MN711803.1	386
MN711802.1	386
MN711801.1	386
MN711800.1	386
MN711799.1	386
MN711798.1	386
MN711797.1	384
MN711796.1	384
MN711795.1	384
MN711792.1	386
MN711791.1	386
MW426044.1	789
MW426043.1	798
MW426042.1	759
MW426041.1	732
MW426040.1	795
MW426039.1	756
MW426038.1	795
MW426037.1	783
MW426036.1	759
MW426035.1	741
MW426034.1	768
MW426033.1	756
MW426032.1	783
MW426031.1	741
MW426030.1	741
MW426029.1	750
MW426028.1	759
MW426027.1	759
MW426026.1	786
MW426025.1	786
MW426024.1	792
MW426023.1	783
MW426022.1	780
MW426021.1	783
MW426020.1	792
MW426019.1	756
MW426018.1	780
MW426017.1	633
MW426016.1	759
MW426015.1	792
MW426014.1	759
MW426013.1	735
MW426012.1	768
MW426011.1	792
MW426010.1	783
MW426009.1	741
MW426008.1	756
MW426007.1	750
MW426006.1	771
MW426005.1	756
MW426004.1	573
MW426003.1	771
MW426002.1	708
MW426001.1	783
MW426000.1	792
MW425999.1	756
MW425998.1	783
MW425997.1	783
MW425996.1	792
MW425995.1	792
MW425994.1	759
MW425993.1	735
MW425992.1	765
MW425991.1	783
MW425989.1	795
MW425988.1	786
MW425987.1	744
MW425986.1	777
MW425985.1	777
MW425984.1	792
MW425983.1	786
MW425982.1	573
MW425981.1	789
MW425980.1	714
MW425979.1	789
MW425978.1	789
MW425977.1	789
MW425976.1	783
MW425975.1	768
MW425974.1	789
MW425973.1	792
MW425972.1	792
MW425971.1	744
MW425970.1	768
MW425969.1	762
MW425968.1	792
MW425967.1	753
MW425966.1	741
MW425965.1	774
MW425964.1	789
MW425963.1	792
MW425962.1	756
MW425961.1	741
MW425960.1	726
MW425959.1	783
MW425958.1	789
MW425957.1	813
MW425956.1	726
MW425955.1	813
MW425954.1	783
MW425953.1	717
MW425952.1	789
MW425951.1	768
MW425950.1	726
MW425949.1	765
MW425948.1	783
MW425947.1	762
MW425946.1	783
MW425945.1	741
MW425944.1	645
MW425836.1	603
MW425835.1	837
MW425834.1	834
MW425833.1	843
MW425832.1	666
MW425831.1	390
MW425830.1	843
MW425829.1	840
MW425828.1	840
MW425827.1	825
MW425826.1	840
MW425825.1	840
MW425824.1	840
MW425823.1	840
MW425822.1	840
MW425821.1	840
MW425820.1	837
MW425819.1	837
MW425818.1	324
MW425817.1	663
MW425816.1	837
MW425815.1	699
MW425814.1	777
MW425813.1	843
MW425812.1	825
MW425811.1	306
MW425810.1	843
MW425809.1	834
MW425808.1	825
MW425807.1	826
MW425806.1	840
MW425805.1	831
MW425804.1	825
MW425803.1	843
MW425802.1	840
MW425801.1	834
MW425800.1	840
MW425799.1	828
MW425798.1	840
MW425797.1	579
MW425796.1	435
MW425795.1	843
MW425794.1	474
MW425793.1	720
MW425792.1	843
MW425791.1	759
MW425790.1	324
MW425789.1	825
MW425788.1	843
MW425787.1	843
MW425786.1	825
MW425785.1	831
MW425784.1	831
MW425783.1	825
MW425782.1	831
MW425781.1	840
MW425780.1	843
MW425779.1	843
MW425778.1	828
MW425777.1	840
MW425776.1	687
MW425775.1	642
MW425774.1	843
MW425773.1	759
MW425772.1	843
MW425771.1	828
MW425770.1	315
MW425769.1	315
MW425768.1	825
MW425767.1	825
MW425766.1	828
MW425765.1	825
MW425764.1	825
MW425763.1	840
MW425762.1	825
MW425761.1	825
MW425760.1	828
MW425759.1	840
MW425758.1	837
MW425757.1	825
MW425756.1	825
MW425755.1	324
MW425754.1	597
MW425753.1	843
MW425562.1	759
MW425561.1	837
MW425560.1	834
MW425559.1	336
MW425558.1	840
MW425557.1	315
MW425555.1	834
MW425554.1	840
MW425553.1	837
MW425552.1	837
MW425551.1	763
MW425550.1	327
MW425549.1	840
MW425548.1	735
MW425547.1	828
MW425546.1	840
MW425545.1	831
MW425544.1	327
MW425543.1	841
MW425542.1	840
MW425539.1	745
MW425538.1	843
MW425537.1	843
MW425536.1	333
MW425535.1	843
MW425534.1	843
MW425533.1	333
MW425532.1	825
MW425531.1	843
MW425530.1	837
MW425529.1	843
MW425528.1	624
MW425527.1	843
MW425526.1	834
MW425525.1	843
MW425524.1	306
MW425523.1	720
MW425522.1	834
MW425521.1	327
MW425520.1	720
MW425519.1	843
MW425411.1	603
MW425410.1	768
MW425409.1	816
MW425408.1	321
MW425407.1	840
MW425406.1	840
MW425404.1	825
MW425403.1	840
MW425402.1	840
MW425401.1	843
MW425400.1	465
MW425399.1	837
MW425398.1	768
MW425397.1	840
MW425396.1	837
MW425395.1	840
MW425394.1	840
MW425393.1	444
MW425392.1	663
MW425391.1	840
MW425375.1	354
MW425374.1	841
MW425373.1	669
MW425372.1	324
MW425371.1	840
MW425370.1	834
MW425369.1	843
MW425368.1	828
MW425367.1	507
MW425366.1	840
MW425365.1	507
MW425364.1	336
MW425363.1	330
MW425362.1	603
MW425361.1	330
MW425360.1	834
MW425359.1	507
MW425358.1	828
MW425357.1	327
MW425356.1	351
MW425355.1	843
MW424393.1	1476
MW424392.1	1485
MW424391.1	1473
MW424390.1	1476
MW424389.1	1473
MW424388.1	1485
MW424387.1	1473
MW424386.1	1476
MW424385.1	1485
MW424384.1	1485
MW424383.1	1473
MW424382.1	1485
MW424381.1	1474
MW424380.1	1485
MW424379.1	1473
MW424378.1	1485
MW424377.1	1473
MW424376.1	1473
MW424375.1	1473
MW424374.1	1476
MW423977.1	1473
MW423976.1	1473
MW423975.1	1473
MW423974.1	1473
MW423973.1	1485
MW423972.1	1485
MW423971.1	1426
MW423970.1	1422
MW423969.1	1426
MW423968.1	1485
MW423967.1	1426
MW423966.1	1485
MW423965.1	1485
MW423964.1	1473
MW423963.1	1485
MW423962.1	1485
MW423961.1	1473
MW423960.1	1485
MW423959.1	1473
MW423958.1	1485
MW423955.1	1485
MW423954.1	1485
MW423953.1	1485
MW423952.1	1487
MW423951.1	1485
MW423950.1	1467
MW423949.1	1476
MW423948.1	1485
MW423947.1	1473
MW423946.1	1485
MW423945.1	1485
MW423944.1	1485
MW423943.1	1485
MW423942.1	1473
MW423941.1	1485
MW423940.1	1473
MW423939.1	1467
MW423938.1	1485
MW423937.1	1476
MW423936.1	1485
MW423601.1	1485
MW423600.1	1485
MW423599.1	1485
MW423598.1	1485
MW423597.1	1485
MW423596.1	1473
MW423595.1	1467
MW423594.1	1473
MW423593.1	1473
MW423592.1	1473
MW423591.1	1485
MW423590.1	1485
MW423589.1	1485
MW423588.1	1485
MW423587.1	1485
MW423586.1	1473
MW423585.1	1467
MW423584.1	1485
MW423583.1	1485
MW423582.1	1473
MW423401.1	1485
MW423400.1	1410
MW423399.1	1218
MW423398.1	1410
MW423397.1	1485
MW423396.1	1344
MW423395.1	1485
MW423394.1	1485
MW423393.1	1308
MW423392.1	1485
MW423391.1	1485
MW423390.1	1308
MW423389.1	1296
MW423388.1	1344
MW423387.1	1485
MW423386.1	1353
MW423385.1	1296
MW423384.1	1464
MW423383.1	1485
MW423382.1	1485
MW422852.1	1209
MW422851.1	1362
MW422850.1	1485
MW422849.1	1467
MW422848.1	1362
MW422847.1	1281
MW422846.1	963
MW422845.1	1485
MW422844.1	1281
MW422843.1	1297
MW422842.1	975
MW422841.1	1206
MW422840.1	1215
MW422839.1	1419
MW422838.1	1485
MW422837.1	1206
MW422805.1	1335
MW422804.1	1485
MW422803.1	1266
MW422802.1	1335
MW422801.1	1128
MW422800.1	1392
MW422799.1	1413
MW422798.1	1293
MW422797.1	1362
MW422796.1	1485
MW422795.1	1293
MW422794.1	1101
MW422793.1	1485
MW422792.1	1485
MW422791.1	1413
MW422790.1	1362
MW422750.1	1479
MW422749.1	1317
MW422748.1	1485
MW422747.1	1320
MW422746.1	1485
MW422745.1	1323
MW422744.1	1323
MW422743.1	1482
MW422742.1	1317
MW422741.1	1320
MW422740.1	1476
MW422739.1	1314
MW422738.1	1323
MW422737.1	1485
MW422736.1	1320
MW422735.1	1083
MW421751.1	1485
MW421750.1	1476
MW421749.1	1353
MW421748.1	1212
MW421747.1	1218
MW421746.1	1101
MW421745.1	1353
MW421744.1	1245
MW421743.1	1218
MW421742.1	1245
MW421741.1	1353
MW421740.1	1218
MW421425.1	777
MW421424.1	720
MW421423.1	720
MW421422.1	777
MW421421.1	762
MW421420.1	720
MW421419.1	777
MW421418.1	762
MW421417.1	720
MW421416.1	777
MW421415.1	762
MW421414.1	720
MW421413.1	777
MW421412.1	762
MW421411.1	720
MW421410.1	777
MW419316.1	828
MW419315.1	735
MW419314.1	387
MW419313.1	405
MW419312.1	387
MW419311.1	395
MW419310.1	342
MW419309.1	735
MW419308.1	395
MW419307.1	453
MW419306.1	405
MW419305.1	735
MW419304.1	825
MW419303.1	450
MW419302.1	405
MW419301.1	828
MW418520.1	1467
MW418519.1	1467
MW418518.1	1464
MW418517.1	1467
MW418516.1	1467
MW418515.1	1455
MW418514.1	1467
MW418513.1	1464
MW418512.1	1467
MW418511.1	1467
MW418510.1	1446
MW418509.1	1467
MW418508.1	1467
MW418507.1	1464
MW418506.1	1467
MW418505.1	1467
MW418504.1	1467
MW418503.1	1455
MW418502.1	1467
MW418501.1	1467
MW418500.1	1467
MW418499.1	1467
MW418498.1	1467
MW418497.1	1464
MW418496.1	1467
MW418495.1	1461
MW418494.1	1467
MW418493.1	1452
MW418492.1	1467
MW418491.1	1452
MW418490.1	1467
MW418489.1	1467
MW418488.1	1464
MW418487.1	1467
MW418486.1	1467
MW418485.1	1467
MW418484.1	1467
MW418483.1	1458
MW418482.1	1467
MW418481.1	1467
MW418480.1	1464
MW418479.1	1455
MW418478.1	1467
MW418477.1	1467
MW418476.1	1464
MW418475.1	1464
MW418474.1	1467
MW418473.1	1461
MW418472.1	1467
MW418471.1	1467
MW418470.1	1467
MW418190.1	1468
MW418189.1	1468
MW418188.1	1468
MW418187.1	1468
MW418186.1	1468
MW418185.1	1468
MW418184.1	1468
MW418183.1	1468
MW418182.1	1468
MW418150.1	1032
MW418149.1	1128
MW418148.1	1131
MW418147.1	876
MW418146.1	720
MW418145.1	837
MW418144.1	1128
MW418143.1	1032
MW418142.1	837
MW418141.1	879
MW418140.1	915
MW418139.1	843
MW418138.1	879
MW418137.1	1080
MW418136.1	1089
MW418135.1	1131
MW418134.1	879
MW418133.1	882
MW418132.1	1131
MW418131.1	1089
MW418130.1	1140
MW418129.1	1131
MW418128.1	1140
MW418127.1	930
MW418126.1	843
MW418125.1	867
MW418124.1	885
MW418123.1	972
MW332625.1	1485
MW332624.1	1485
MW418068.1	951
MW418067.1	1131
MW418066.1	1122
MW418065.1	951
MW418064.1	876
MW418063.1	1131
MW418062.1	1122
MW418061.1	1131
MW418060.1	987
MW418059.1	951
MW418058.1	843
MW418057.1	765
MW418056.1	951
MW418055.1	876
MW418054.1	1134
MW418053.1	1086
MW418052.1	1131
MW418051.1	818
MW418050.1	771
MW418049.1	837
MW418048.1	843
MW418047.1	870
MW418046.1	1131
MW418045.1	1071
MW418044.1	810
MW418043.1	711
MW418042.1	870
MW418041.1	1131
MW418040.1	1122
MW418039.1	900
MW415411.1	990
MW415410.1	1014
MW414885.1	323
MW414884.1	793
MW414883.1	789
MW414882.1	783
MW414881.1	789
MW414880.1	801
MW414879.1	789
MW414878.1	783
MW414877.1	786
MW414876.1	669
MW414875.1	792
MW414874.1	323
MW414873.1	783
MW414872.1	792
MW414871.1	786
MW414870.1	792
MW413434.1	651
MW413432.1	748
MW413431.1	748
MW413430.1	651
MW413427.1	733
MW413426.1	736
MW413424.1	748
MW413423.1	745
MW413422.1	651
MW413421.1	651
MW413420.1	742
MW413419.1	748
MW412975.1	1485
MW412974.1	1482
MW412973.1	1485
MW412972.1	1485
MW412971.1	1485
MW412970.1	1485
MW412969.1	1482
MW412968.1	1485
MW412967.1	1485
MW412966.1	1485
MW412965.1	1485
MW412964.1	1485
MW412963.1	1485
MW412962.1	1485
MW412961.1	1485
MW412960.1	1485
MW412959.1	1485
MW412958.1	1485
MW412957.1	1485
MW412956.1	1485
MW412955.1	1485
MW412954.1	1485
MW412953.1	1485
MW412952.1	1482
MW412951.1	1485
MW412950.1	1485
MW412949.1	1485
MW412948.1	1485
